Summary,Issue Type,Epic Name,Epic Link,Priority,Assignee,Component,Labels,Story Points,Sprint,Description
"[Infra] Thiết lập Database & TimescaleDB",Epic,EP01-Database,,Highest,,,Infra Sprint-1,,Sprint 1,"Setup PostgreSQL + TimescaleDB extension. Chạy tất cả SQL scripts. Nền tảng cho toàn bộ dự án."
"[Admin BE] Setup PostgreSQL & Chạy SQL Scripts",Story,,EP01-Database,Highest,Admin BE Dev,Admin-BE,Backend Infra Sprint-1,3,Sprint 1,"Setup PostgreSQL + TimescaleDB trên dev. Chạy 9 file SQL scripts (01→09). Verify 11 tables + 44 indexes. Document connection string cho team."
"[Mobile BE] Review Schema & Test Kết nối",Story,,EP01-Database,High,Mobile BE Dev,Mobile-BE,Backend Infra Sprint-1,1,Sprint 1,"Review database schema. Test kết nối PostgreSQL từ FastAPI (SQLAlchemy). Chuẩn bị SQLAlchemy models reflect từ DB."
"[AI] Review Schema cho AI Pipeline",Story,,EP01-Database,High,AI Dev,AI-Models,AI Infra Sprint-1,1,Sprint 1,"Review schema cho bảng vitals và motion_data (input AI). Review risk_scores + risk_explanations (output AI). Verify TimescaleDB hypertables."
"[QA] Kiểm tra kết nối DB & CRUD cơ bản",Story,,EP01-Database,High,Tester,QA,Test Infra Sprint-1,1,Sprint 1,"Verify DB connection từ cả 2 backend. Test CRUD operations trên sample tables. Verify TimescaleDB continuous aggregates."
"[Infra] Khởi tạo Admin Backend (Node.js)",Epic,EP02-AdminBE,,Highest,,,Infra Sprint-1,,Sprint 1,"Setup Admin Backend: Node.js + Express + Prisma + TypeScript. Phục vụ Admin Web Dashboard."
"[Admin BE] Setup Express + Prisma Project",Story,,EP02-AdminBE,Highest,Admin BE Dev,Admin-BE,Backend Infra Sprint-1,2,Sprint 1,"Setup Express + TypeScript. Prisma Client connect DB. CORS middleware. Logging. Health check endpoint GET /health. Swagger docs. Biến môi trường .env."
"[QA] Test Admin BE Health Check & CORS",Story,,EP02-AdminBE,High,Tester,QA,Test Infra Sprint-1,1,Sprint 1,"Test health check endpoint trả về 200. Verify CORS hoạt động đúng."
"[Infra] Khởi tạo Mobile Backend (FastAPI)",Epic,EP03-MobileBE,,Highest,,,Infra Sprint-1,,Sprint 1,"Setup Mobile Backend: Python + FastAPI + SQLAlchemy + Pydantic. Phục vụ Mobile App Flutter và AI."
"[Mobile BE] Setup FastAPI + SQLAlchemy Project",Story,,EP03-MobileBE,Highest,Mobile BE Dev,Mobile-BE,Backend Infra Sprint-1,2,Sprint 1,"Setup FastAPI project structure. SQLAlchemy connect DB. CORS middleware. Logging. Health check GET /health. Swagger docs tại /docs. Biến môi trường .env."
"[QA] Test Mobile BE Health Check & CORS",Story,,EP03-MobileBE,High,Tester,QA,Test Infra Sprint-1,1,Sprint 1,"Test health check endpoint trả về 200. Verify CORS hoạt động đúng. Test với Postman."
"[Auth] UC001 - Đăng Nhập (Login)",Epic,EP04-Login,,Highest,,,Auth Sprint-1,,Sprint 1,"Người dùng đăng nhập bằng email/password nhận JWT token. Tách riêng Admin login (Node.js) và Mobile login (FastAPI)."
"[Admin BE] API Đăng nhập cho Web Dashboard",Story,,EP04-Login,Highest,Admin BE Dev,Admin-BE,Backend Auth Sprint-1,2,Sprint 1,"POST /api/auth/login. Xác thực bcrypt. JWT iss=healthguard-admin role=ADMIN hạn=8h. Rate limit 5 lần/15 phút. Kiểm tra is_active. Cập nhật last_login_at. Ghi audit log."
"[Mobile BE] API Đăng nhập + Refresh Token",Story,,EP04-Login,Highest,Mobile BE Dev,Mobile-BE,Backend Auth Sprint-1,3,Sprint 1,"POST /api/auth/login. Xác thực bcrypt. JWT iss=healthguard-mobile roles=PATIENT/CAREGIVER hạn=30 ngày. Cơ chế refresh token. Rate limit 5 lần/15 phút. Ghi audit log."
"[Admin FE] Giao diện Đăng nhập Web",Story,,EP04-Login,High,Admin FE Dev,Admin-FE,Frontend Auth Sprint-1,2,Sprint 1,"Trang login React. Validate form. Gọi API. Lưu JWT. Chuyển hướng dashboard. Hiển thị lỗi. Nút ẩn/hiện mật khẩu. Trạng thái loading."
"[Mobile FE] Giao diện Đăng nhập App",Story,,EP04-Login,High,Mobile FE Dev,Mobile-FE,Mobile Auth Sprint-1,2,Sprint 1,"Màn hình login Flutter. Validate form. Gọi API. Lưu JWT + refresh token (secure storage). Chuyển đến dashboard. Hiển thị lỗi. Loading indicator."
"[QA] Kiểm thử Đăng nhập Admin & Mobile",Story,,EP04-Login,High,Tester,QA,Test Auth Sprint-1,2,Sprint 1,"Test Admin login: JWT 8h. Test Mobile login: JWT 30 ngày + refresh. Test sai mật khẩu. Test rate limiting 6 lần. Test phân quyền đăng nhập theo role."
"[Auth] UC002 - Đăng Ký (Register)",Epic,EP05-Register,,High,,,Auth Sprint-1,,Sprint 1,"Tạo tài khoản mới. Admin: chỉ admin tạo user. Mobile: tự đăng ký cho patient/caregiver."
"[Admin BE] API Tạo User (Admin tạo)",Story,,EP05-Register,High,Admin BE Dev,Admin-BE,Backend Auth Sprint-1,2,Sprint 1,"POST /api/users (yêu cầu ADMIN JWT). Validate email duy nhất. Bcrypt hash. Tạo user is_verified=true. Xử lý lỗi."
"[Mobile BE] API Tự Đăng ký",Story,,EP05-Register,High,Mobile BE Dev,Mobile-BE,Backend Auth Sprint-1,2,Sprint 1,"POST /api/auth/register. Validate email + mật khẩu tối thiểu 6 ký tự. Bcrypt hash. Tạo user is_verified=false. Gửi email xác thực (mock trong dev)."
"[Admin FE] Giao diện Thêm User (Modal)",Story,,EP05-Register,High,Admin FE Dev,Admin-FE,Frontend Auth Sprint-1,1,Sprint 1,"Modal Thêm User trong Admin Dashboard. Form: email mật khẩu họ tên SĐT ngày sinh vai trò. Gọi API POST /api/users. Xử lý lỗi."
"[Mobile FE] Giao diện Đăng ký",Story,,EP05-Register,High,Mobile FE Dev,Mobile-FE,Mobile Auth Sprint-1,2,Sprint 1,"Màn hình đăng ký Flutter. Validate form. Gọi API. Thông báo thành công + chuyển đến login. Checkbox điều khoản sử dụng."
"[QA] Kiểm thử Đăng ký Admin & Mobile",Story,,EP05-Register,High,Tester,QA,Test Auth Sprint-1,2,Sprint 1,"Test Admin tạo user: chỉ role ADMIN. Test Mobile đăng ký: email trùng → lỗi. Test mật khẩu yếu. Test checkbox điều khoản."
